dataset_id,context,measurement
G10_D2,Triangular-like process,5.2
G10_D2,Triangular-like process,6.1
G10_D2,Triangular-like process,6.8
G10_D2,Triangular-like process,7.4
G10_D2,Triangular-like process,8.0
G10_D2,Triangular-like process,8.6
G10_D2,Triangular-like process,9.1
G10_D2,Triangular-like process,9.7
G10_D2,Triangular-like process,10.2
G10_D2,Triangular-like process,10.8
G10_D2,Triangular-like process,11.1
G10_D2,Triangular-like process,11.5
G10_D2,Triangular-like process,11.9
G10_D2,Triangular-like process,12.2
G10_D2,Triangular-like process,12.5
G10_D2,Triangular-like process,12.8
G10_D2,Triangular-like process,13.1
G10_D2,Triangular-like process,13.4
G10_D2,Triangular-like process,13.7
G10_D2,Triangular-like process,14.0
G10_D2,Triangular-like process,14.4
G10_D2,Triangular-like process,14.8
G10_D2,Triangular-like process,15.2
G10_D2,Triangular-like process,15.8
G10_D2,Triangular-like process,16.5
G10_D2,Triangular-like process,17.1
G10_D2,Triangular-like process,17.8
G10_D2,Triangular-like process,18.6
G10_D2,Triangular-like process,19.4
G10_D2,Triangular-like process,20.3
