route_id,delivery_time_min
North_A,34.2
North_A,36.8
North_A,31.5
North_A,40.1
North_A,38.7
North_A,35.9
North_A,42.6
North_A,33.8
North_A,37.4
North_A,39.9
North_A,41.3
North_A,30.7
North_A,32.9
North_A,36.1
North_A,43.5
North_A,44.2
North_A,29.8
North_A,34.7
North_A,37.0
North_A,45.1
South_B,51.6
South_B,48.9
South_B,53.4
South_B,50.2
South_B,55.7
South_B,47.8
South_B,52.5
South_B,49.6
South_B,56.1
South_B,54.0
South_B,46.9
South_B,57.4
South_B,58.2
South_B,52.1
South_B,50.8
South_B,59.5
South_B,45.7
South_B,54.8
South_B,51.3
South_B,60.4
East_C,27.4
East_C,29.1
East_C,31.8
East_C,26.7
East_C,33.5
East_C,30.6
East_C,28.3
East_C,34.2
East_C,32.7
East_C,25.9
East_C,35.1
East_C,36.4
East_C,27.8
East_C,29.9
East_C,31.2
East_C,37.0
East_C,24.8
East_C,33.1
East_C,30.1
East_C,34.9
